,picture_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster_50,cluster_51,cluster_52,cluster_53,cluster_54,cluster_55,cluster_56,cluster_57,cluster_58,cluster_59,cluster_60,cluster_61,cluster_62,cluster_63,cluster_64,cluster_65,cluster_66,cluster_67,cluster_68,cluster_69,cluster_70,cluster_71,cluster_72,cluster_73,cluster_74,cluster_75,cluster_76,cluster_77,cluster_78,cluster_79,cluster_80,cluster_81,cluster_82,cluster_83,cluster_84,cluster_85,cluster_86,cluster_87,cluster_88,cluster_89,cluster_90,cluster_91,cluster_92,cluster_93,cluster_94,cluster_95,cluster_96,cluster_97,cluster_98,cluster_99,material
0,cardboard1.jpg,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,8.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,1.0,4.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
1,cardboard100.jpg,2.0,0.0,0.0,1.0,3.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,16.0,6.0,2.0,4.0,1.0,4.0,4.0,3.0,0.0,8.0,1.0,3.0,4.0,1.0,4.0,0.0,1.0,4.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
2,cardboard102.jpg,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,4.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
3,cardboard105.jpg,6.0,1.0,1.0,4.0,4.0,1.0,1.0,8.0,2.0,2.0,3.0,3.0,3.0,4.0,13.0,2.0,2.0,7.0,15.0,6.0,2.0,1.0,0.0,9.0,2.0,8.0,8.0,9.0,6.0,13.0,8.0,17.0,5.0,0.0,3.0,0.0,6.0,4.0,2.0,8.0,0.0,4.0,11.0,0.0,8.0,2.0,3.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
4,cardboard107.jpg,2.0,9.0,3.0,8.0,3.0,2.0,6.0,5.0,4.0,4.0,6.0,7.0,14.0,1.0,3.0,1.0,11.0,4.0,3.0,3.0,2.0,4.0,3.0,7.0,4.0,1.0,5.0,4.0,4.0,6.0,1.0,3.0,6.0,5.0,3.0,0.0,6.0,7.0,36.0,2.0,6.0,2.0,9.0,2.0,6.0,4.0,18.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
5,cardboard108.jpg,0.0,1.0,5.0,2.0,4.0,1.0,9.0,1.0,0.0,3.0,2.0,8.0,5.0,1.0,5.0,5.0,1.0,14.0,6.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,14.0,19.0,4.0,1.0,7.0,12.0,1.0,3.0,1.0,1.0,2.0,11.0,1.0,4.0,1.0,7.0,3.0,4.0,11.0,8.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
6,cardboard11.jpg,3.0,1.0,0.0,9.0,5.0,0.0,3.0,3.0,1.0,2.0,4.0,8.0,2.0,4.0,11.0,2.0,16.0,19.0,12.0,7.0,4.0,0.0,0.0,4.0,11.0,5.0,18.0,3.0,1.0,3.0,12.0,18.0,1.0,0.0,7.0,0.0,14.0,11.0,1.0,5.0,1.0,13.0,4.0,2.0,5.0,6.0,1.0,10.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
7,cardboard111.jpg,1.0,0.0,2.0,3.0,6.0,4.0,3.0,3.0,1.0,3.0,6.0,10.0,2.0,3.0,6.0,6.0,4.0,22.0,6.0,8.0,2.0,5.0,1.0,3.0,7.0,4.0,14.0,0.0,9.0,14.0,7.0,10.0,3.0,1.0,7.0,2.0,12.0,9.0,1.0,9.0,2.0,7.0,5.0,1.0,8.0,5.0,3.0,3.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
8,cardboard112.jpg,0.0,3.0,4.0,8.0,5.0,2.0,1.0,8.0,5.0,2.0,2.0,1.0,9.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0,9.0,3.0,6.0,1.0,3.0,8.0,7.0,1.0,0.0,4.0,0.0,0.0,5.0,5.0,2.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
9,cardboard115.jpg,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
